'Tensao_kV';'Potencia_MVA';'TipoComutadorDeriv';'AnosDeOperacao';'RigidezDieletrica';'AguaNoOleo';'TensaoInterfacial';'IndiceNeutralizacao';'Cor';'Densidade';'FPD_25oC';'FPD_100oC';'MonitEspecial'
230;100;Em Carga (CDC);6.84;100.1;11;42.7;0;0;0.88073;0.022;0.494;0
230;66.6;Sem Comutador;43.87;97.4;8;32.6;NULL;2.5;0.87932;0.067;2.172;0
230;60;Em Carga (CDC);29.36;80.6;11;38.8;NULL;1.5;0.85317;0.021;0.472;0
69;30;NULL;34.37;74.2;18;35.8;NULL;1.5;0.87214;0.016;0.742;0
550;89.3;Em Carga (CDC);7.85;100.2;8;42;NULL;0.5;0.87667;0.0032;0.1587;0
230;100;Em Carga (CDC);15.49;89.8;10;41.4;NULL;0.5;0.88104;0.018;0.471;0
500;250;Em Carga (CDC);13.03;94.7;9;39.1;NULL;0.5;0.87493;0.001;0.182;0
230;65;Em Carga (CDC);17.38;87.1;12;42.7;0;1;0.88156;0.004;0.103;0
230;30;Em Carga (CDC);22.77;98.2;9;39.8;NULL;0.5;0.88874;0.004;0.389;0
550;200;Em Carga (CDC);39.38;100;13;31.5;NULL;2;0.88242;0.049;1.86;0
230;100;Em Carga (CDC);11.66;100;10;41.6;0;0.5;0.87661;0.004;0.082;0
69;16.35;Sem Comutador;11.93;100.1;7;32.9;NULL;1.5;0.87557;0.0164;0.7045;0
230;50;Sem Comutador;35.87;96.6;10;34.9;NULL;1.5;0.8649;0.081;2.78;0
550;120;Em Carga (CDC);42.87;90;6;44.5;NULL;0;0.87631;0.002;0.681;0
230;50;Em Carga (CDC);43.87;86.2;16;30.7;0.04;3.5;0.87838;0.181;7.127;0
550;200;Em Carga (CDC);37.78;94.2;16;44.2;0;0;0.87808;0.265;2.228;0
500;409.6;Em Carga (CDC);10.85;76.9;8;42.4;0;0;0.88712;0.001;0.167;0
230;150;Em Carga (CDC);5.93;94.8;8;43.3;NULL;0;0.87286;0.018;0.494;0
13.8;387;Sem Comutador;23.86;80.5;18;30.1;NULL;4;0.87905;0.114;4.95;0
230;67;Sem Comutador;44.79;88.5;18;36.9;0.01;1.5;0.88183;0.016;0.639;0
230;67;Sem Comutador;44.79;87.9;17;37.3;0;1.5;0.88056;0.025;1.101;0
230;67;Sem Comutador;44.79;99.3;15;36;0.01;2;0.88119;0.02;0.788;0
230;50;Em Carga (CDC);24.53;100.1;14;40.7;0;1;0.88561;0.013;0.801;0
230;33.33;Em Carga (CDC);14.11;100.1;8;41.3;NULL;1;0.88269;0.005;0.306;0
13.8;0;Sem Tensão (CDST);20.85;58.8;25;28.5;NULL;0.5;0.8755;0.0686;1.8943;1
13.8;405;Em Carga (CDC);13.85;91.7;12;40.4;0;0;0.88779;0.003;0.067;0
230;100;Em Carga (CDC);7.96;95;14;42.3;0;0;0.87886;0.006;0.282;0
13.8;405;Em Carga (CDC);20.70;95.6;11;43.6;0;0.5;0.8831;0.004;0.179;0
13.8;0.75;Sem Tensão (CDST);39.03;45.2;41;29;NULL;1.5;0.88479;0.078;2.661;1
69;26.6;Em Carga (CDC);25.94;57.4;24;31.4;NULL;1.5;0.87634;0.026;0.98;1
13.2;0.525;Sem Tensão (CDST);20.04;93.3;18;23.7;NULL;0.5;0.88572;0.044;2.379;0
230;NULL;Em Carga (CDC);NULL;100.1;7;38.9;NULL;0.5;0.87665;0.0051;0.4676;0
NULL;NULL;NULL;43.04;89.6;18;23.8;0.09;2.5;0.88544;0.289;7.951;0
13.8;0;Sem Comutador;9.73;31.1;22;31.6;NULL;1.5;0.87659;0.11;3.369;0
13.8;1;Em Carga (CDC);9.73;71.4;27;32.4;0.02;1.5;0.88007;0.041;1.758;0
230;NULL;Em Carga (CDC);NULL;92.7;8;23.2;NULL;3.5;0.87646;0.2038;6.6272;0
69;NULL;Em Carga (CDC);16.36;98.1;105;23.1;0.12;1;0.91635;2.315;28.527;0
230;NULL;Em Carga (CDC);10.50;17.9;69;39.5;0;1.5;0.87437;0.008;0.262;0
13.8;0;Sem Comutador;9.98;26.8;34;33.3;0.04;1;0.86395;0.133;2.753;0
13.8;NULL;Em Carga (CDC);NULL;53.9;28;21.9;0.2;1.5;0.87266;0.041;1.914;0
NULL;NULL;NULL;9.98;90.9;14;25.3;NULL;1.5;0.86774;0.0318;1.1864;0
13.8;1.52;Sem Comutador;NULL;87.3;27;28.7;0.04;2;0.86408;0.164;3.967;0
13.8;1.52;Sem Comutador;33.86;79.1;20;25.6;0.06;2.5;0.86434;0.189;3.9;0
230;66.6;Sem Tensão (CDST);42.87;100.1;12;31.3;NULL;3;0.88282;0.095;3.747;0
230;30;Em Carga (CDC);5.84;78.3;10;38.5;NULL;0.5;0.87487;0.006;0.173;0
230;230;Em Carga (CDC);8.48;100.1;6;40.6;0;0;0.87466;0.045;0.635;0
550;0;Em Carga (CDC);11.48;100.1;11;43.3;NULL;0;0.87815;0.002;0.097;0
13.8;0.75;Sem Tensão (CDST);39.49;45.5;36;30.4;NULL;1;0.88486;0.052;2.103;1
230;100;Em Carga (CDC);19.48;87.6;13;38.1;NULL;1.5;0.88757;0.009;0.622;0
242;100;Em Carga (CDC);20.44;97.1;10;40.1;0;1;0.88848;0.006;0.349;0
242;100;Em Carga (CDC);20.44;100.1;11;39.7;0;0;0.88854;0.004;0.209;0
230;100;Em Carga (CDC);12.02;91.6;9;38.4;0;0.5;0.87842;0.008;0.213;0
230;66.6;Sem Tensão (CDST);42.87;100.1;9;32.4;NULL;3;0.88315;0.103;3.906;0
